,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
77,Bilma,2,NE,09/04/19,13,18.69,12.92,102.11000000000008,0.84
78,Vardo,75,US,09/04/19,52,39.62,-77.74,91.99400000000009,4.6
79,Port Alfred,95,ZA,09/04/19,93,-33.59,26.89,57.992,0.45
80,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
81,Nador,20,MA,09/04/19,78,35.17,-2.93,82.4,2.6
82,Busselton,79,AU,09/04/19,65,-33.64,115.35,39.00200000000008,5.12
83,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
84,Punta Arenas,75,CL,09/04/19,69,-53.16,-70.91,39.00200000000008,2.24
85,Saskylakh,84,RU,09/04/19,84,71.97,114.09,31.73000000000004,4.89
86,Ucluelet,75,CA,09/04/19,82,48.94,-125.55,64.99400000000009,1.5
87,Albany,90,US,09/04/19,73,42.65,-73.75,78.99800000000002,6.2
88,Saint George,0,GR,09/04/19,44,39.45,22.34,78.80000000000001,1.0
89,Port Alfred,95,ZA,09/04/19,93,-33.59,26.89,57.992,0.45
90,Ushuaia,0,AR,09/04/19,60,-54.81,-68.31,41.0,10.8
91,Rikitea,95,PF,09/04/19,71,-23.12,-134.97,72.95,3.31
92,Hilo,90,US,09/04/19,88,19.71,-155.08,73.4,3.6
93,Mende,0,FR,09/04/19,23,44.52,3.5,77.0,4.1
94,Bluff,0,AU,09/04/19,28,-23.58,149.07,60.71000000000008,1.52
95,Kavieng,100,PG,09/04/19,77,-2.57,150.8,81.77000000000007,4.04
96,Rikitea,95,PF,09/04/19,71,-23.12,-134.97,72.95,3.31
97,Micheweni,0,TZ,09/04/19,81,-4.97,39.83,77.45,7.41
98,Bonwapitse,0,BW,09/04/19,16,-23.08,26.7,67.19000000000003,1.76
99,Jamestown,13,AU,09/04/19,60,-33.21,138.6,54.77000000000007,3.61
100,Jamestown,13,AU,09/04/19,60,-33.21,138.6,54.77000000000007,3.61
101,Jamestown,13,AU,09/04/19,60,-33.21,138.6,54.77000000000007,3.61
102,Blind River,1,CA,09/04/19,45,46.19,-82.96,66.2,2.1
103,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
104,Lavrentiya,94,RU,09/04/19,97,65.58,-170.99,43.610000000000085,4.39
105,Padang,84,ID,09/04/19,84,-0.92,100.36,81.59000000000003,8.75
106,Bredasdorp,65,ZA,09/04/19,81,-34.53,20.04,57.00200000000008,2.1
107,Chuy,48,UY,09/04/19,59,-33.69,-53.46,48.650000000000006,6.67
108,Muros,20,ES,09/04/19,60,42.77,-9.06,78.00800000000001,7.7
109,Port Elizabeth,20,US,09/04/19,62,39.31,-74.98,91.99400000000009,5.1
110,Ancud,0,CL,09/04/19,51,-41.87,-73.83,50.81000000000009,3.96
111,Bezerros,92,BR,09/04/19,82,-8.24,-35.76,73.85,5.44
112,Llanes,8,ES,09/04/19,86,43.42,-4.75,69.00800000000001,0.89
113,Bluff,0,AU,09/04/19,28,-23.58,149.07,60.71000000000008,1.52
114,Busselton,79,AU,09/04/19,65,-33.64,115.35,39.00200000000008,5.12
115,Tezu,97,IN,09/04/19,71,27.93,96.16,75.65,0.67
116,Pleasanton,40,US,09/04/19,73,37.66,-121.87,82.4,2.6
117,Albany,90,US,09/04/19,73,42.65,-73.75,78.99800000000002,6.2
118,Hobart,29,AU,09/04/19,97,-42.88,147.33,46.004000000000055,2.6
119,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
120,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
121,Lebu,75,ET,09/04/19,88,8.96,38.73,62.6,1.5
122,Ribeira Grande,20,PT,09/04/19,64,38.52,-28.7,75.2,8.2
123,Punta Arenas,75,CL,09/04/19,69,-53.16,-70.91,39.00200000000008,2.24
124,Mar del Plata,0,AR,09/04/19,39,-46.43,-67.52,38.39000000000002,2.07
125,Tuktoyaktuk,75,CA,09/04/19,87,69.44,-133.03,46.4,2.1
126,Barrow,85,AR,09/04/19,49,-38.31,-60.23,47.21000000000008,5.48
127,Jamestown,13,AU,09/04/19,60,-33.21,138.6,54.77000000000007,3.61
128,Jasper,1,US,09/04/19,46,33.83,-87.28,96.00800000000001,1.5
129,Grindavik,90,IS,09/04/19,100,63.84,-22.43,50.0,3.6
130,Avarua,79,CK,09/04/19,68,-21.21,-159.78,71.6,6.2
131,Nyborg,40,NO,09/04/19,58,70.18,28.61,57.2,4.1
132,Broken Hill,0,AU,09/04/19,11,-31.97,141.45,64.4,2.6
133,Kapaa,40,US,09/04/19,74,22.08,-159.32,82.4,5.1
134,Ribeira Grande,20,PT,09/04/19,64,38.52,-28.7,75.2,8.2
135,Kaseda,40,JP,09/04/19,88,31.42,130.32,77.0,4.6
136,Hombourg-Haut,0,FR,09/04/19,35,49.13,6.78,77.0,6.2
137,Khatanga,15,RU,09/04/19,74,71.98,102.47,30.11000000000008,1.75
138,Jamestown,13,AU,09/04/19,60,-33.21,138.6,54.77000000000007,3.61
139,Vaini,100,IN,09/04/19,94,15.34,74.49,75.29000000000002,1.98
140,Parati,20,BR,09/04/19,40,-20.51,-54.63,89.6,2.6
141,Codrington,0,AU,09/04/19,93,-28.95,153.24,51.00800000000001,4.1
142,Hobart,29,AU,09/04/19,97,-42.88,147.33,46.004000000000055,2.6
143,Kruisfontein,99,ZA,09/04/19,85,-34.0,24.73,54.95,1.32
144,Longyearbyen,75,NO,09/04/19,80,78.22,15.63,33.8,2.1
145,Hermanus,23,ZA,09/04/19,82,-34.42,19.24,57.992,0.89
146,Berea,90,US,09/04/19,52,37.57,-84.3,89.99600000000005,3.6
147,Kapaa,40,US,09/04/19,74,22.08,-159.32,82.4,5.1
148,Maniitsoq,100,GL,09/04/19,87,65.42,-52.9,40.73000000000004,10.63
149,Barrow,85,AR,09/04/19,49,-38.31,-60.23,47.21000000000008,5.48
150,Mataura,100,NZ,09/04/19,96,-46.19,168.86,46.004000000000055,1.73
151,Ust-Maya,0,RU,09/04/19,95,60.42,134.54,43.43000000000004,1.24
152,Shimoda,39,JP,09/04/19,89,34.7,138.93,75.99199999999999,0.45
153,Arraial do Cabo,75,BR,09/04/19,88,-22.97,-42.02,73.4,7.7
154,Vaini,100,IN,09/04/19,94,15.34,74.49,75.29000000000002,1.98
155,Lagoa,20,PT,09/04/19,74,37.14,-8.45,82.99400000000009,3.6
156,Iwanai,100,JP,09/04/19,78,42.97,140.51,55.67000000000006,2.8
157,Albany,90,US,09/04/19,73,42.65,-73.75,78.99800000000002,6.2
158,Busselton,79,AU,09/04/19,65,-33.64,115.35,39.00200000000008,5.12
159,Vaini,100,IN,09/04/19,94,15.34,74.49,75.29000000000002,1.98
160,East London,75,ZA,09/04/19,93,-33.02,27.91,59.0,2.6
161,Rikitea,95,PF,09/04/19,71,-23.12,-134.97,72.95,3.31
162,Inta,0,RU,09/04/19,81,66.04,60.13,50.27000000000007,3.2
163,Ushuaia,0,AR,09/04/19,60,-54.81,-68.31,41.0,10.8
164,Upernavik,5,GL,09/04/19,80,72.79,-56.15,43.070000000000064,5.54
165,Saskylakh,84,RU,09/04/19,84,71.97,114.09,31.73000000000004,4.89
166,Ponta do Sol,0,BR,09/04/19,21,-20.63,-46.0,91.49000000000002,2.54
167,Longyearbyen,75,NO,09/04/19,80,78.22,15.63,33.8,2.1
168,Sao Filipe,0,CV,09/04/19,83,14.9,-24.5,81.05000000000001,5.43
169,Ahar,0,IR,09/04/19,54,38.48,47.07,60.530000000000044,2.19
170,Shingu,12,JP,09/04/19,95,33.72,135.99,66.65,2.36
171,Port Alfred,95,ZA,09/04/19,93,-33.59,26.89,57.992,0.45
172,East London,75,ZA,09/04/19,93,-33.02,27.91,59.0,2.6
173,Hilo,90,US,09/04/19,88,19.71,-155.08,73.4,3.6
174,Pokosnoye,82,RU,09/04/19,85,55.53,101.05,49.190000000000026,2.08
175,Nikolskoye,20,RU,09/04/19,72,59.7,30.79,62.99600000000005,3.0
176,Sitka,0,US,09/04/19,47,37.17,-99.65,87.99800000000002,4.47
177,Mar del Plata,0,AR,09/04/19,39,-46.43,-67.52,38.39000000000002,2.07
178,Tiksi,100,RU,09/04/19,91,71.64,128.87,42.17000000000006,3.35
179,New Norfolk,29,AU,09/04/19,97,-42.78,147.06,46.004000000000055,2.6
180,Petropavlovsk-Kamchatskiy,75,RU,09/04/19,100,53.05,158.65,50.0,3.0
181,Tanabe,40,JP,09/04/19,75,33.73,135.39,79.61000000000008,3.81
182,Lavrentiya,94,RU,09/04/19,97,65.58,-170.99,43.610000000000085,4.39
183,Hermanus,23,ZA,09/04/19,82,-34.42,19.24,57.992,0.89
184,Arraial do Cabo,75,BR,09/04/19,88,-22.97,-42.02,73.4,7.7
185,Saint-Philippe,75,CA,09/04/19,60,45.36,-73.48,75.2,10.8
186,Castro,0,CL,09/04/19,46,-42.48,-73.76,47.030000000000044,2.22
