API Call Date, API Call Time,  Running Count, City Name, Return Code
2019-09-04,12:59:27.566459,127,busselton,200
2019-09-04,12:59:27.691277,128,tezu,200
2019-09-04,12:59:27.911396,129,pleasanton,200
2019-09-04,12:59:28.143394,130,albany,200
2019-09-04,12:59:28.269620,131,hobart,200
2019-09-04,12:59:28.395010,132,mataura,200
2019-09-04,12:59:28.516166,133,mataura,200
2019-09-04,12:59:28.637318,134,lebu,200
2019-09-04,12:59:28.845707,135,saleaula,404
2019-09-04,12:59:28.969128,136,ribeira grande,200
2019-09-04,12:59:29.155505,137,punta arenas,200
2019-09-04,12:59:29.280548,138,mar del plata,200
2019-09-04,12:59:29.492495,139,tuktoyaktuk,200
2019-09-04,12:59:29.615193,140,barrow,200
2019-09-04,12:59:29.913223,141,jamestown,200
2019-09-04,12:59:30.038252,142,warqla,404
2019-09-04,12:59:30.172804,143,jasper,200
2019-09-04,12:59:30.431131,144,grindavik,200
2019-09-04,12:59:30.656585,145,avarua,200
2019-09-04,12:59:30.782890,146,nyborg,200
2019-09-04,12:59:31.014078,147,warqla,404
2019-09-04,12:59:31.139122,148,broken hill,200
2019-09-04,12:59:31.365473,149,kapaa,200
2019-09-04,12:59:31.490629,150,ribeira grande,200
2019-09-04,12:59:31.608387,151,kaseda,200
2019-09-04,12:59:31.870502,152,hombourg-haut,200
2019-09-04,12:59:32.090783,153,khatanga,200
2019-09-04,12:59:32.199326,154,jamestown,200
2019-09-04,12:59:32.336611,155,vaini,200
2019-09-04,12:59:32.508852,156,parati,200
2019-09-04,12:59:32.742985,157,codrington,200
2019-09-04,12:59:32.972937,158,hobart,200
2019-09-04,12:59:33.081430,159,kruisfontein,200
2019-09-04,12:59:33.315065,160,longyearbyen,200
2019-09-04,12:59:33.545952,161,hermanus,200
2019-09-04,12:59:33.663479,162,berea,200
2019-09-04,12:59:33.891299,163,kapaa,200
2019-09-04,12:59:34.018869,164,maniitsoq,200
2019-09-04,12:59:34.326853,165,taolanaro,404
2019-09-04,12:59:34.459614,166,barrow,200
2019-09-04,12:59:34.581164,167,mataura,200
2019-09-04,12:59:34.702527,168,ust-maya,200
2019-09-04,12:59:34.914836,169,shimoda,200
2019-09-04,12:59:35.147608,170,arraial do cabo,200
2019-09-04,12:59:35.387707,171,vaini,200
2019-09-04,12:59:35.503363,172,lagoa,200
2019-09-04,12:59:35.626789,173,iwanai,200
2019-09-04,12:59:35.845729,174,albany,200
2019-09-04,12:59:35.979213,175,busselton,200
2019-09-04,12:59:36.104361,176,vaini,200
2019-09-04,12:59:36.222438,177,east london,200
2019-09-04,12:59:36.343756,178,rikitea,200
2019-09-04,12:59:36.455284,179,inta,200
2019-09-04,12:59:36.672598,180,ushuaia,200
